ano,espvida,fectot,mort1,sobre60,e_anosestudo,gini,ppobcri,pren20ricos,pren80,rdpc,rdpc1,rdpc10,rmpob,rpob,theil,emp,theiltrab,t_banagua,t_lixo,t_luz,t_fora6a14,t_fundin_todos,t_m10a14cf,t_mulchefefif014,homemtot,mulhertot,pesorur,pesourb,i_escolaridade,idhm,idhm_l
1991,62.01,4.08,45.58,66.87,6.68,0.63,87.03,66.65,33.35,198.46,22.46,1041.07,61.89,88.9,0.73,,,18.47,6.82,36.8,34.58,37.1,0.0,6.14,12401,11146,14167,9379,117,329,617
1991,66.02,3.72,32.39,74.23,7.86,0.57,74.41,61.27,38.73,319.47,41.9,1434.68,74.85,116.7,0.59,,,48.5,78.3,73.28,29.97,33.27,1.03,13.86,29495,27318,11529,45283,0.2,432,684
1991,63.16,3.89,41.52,69.0,7.43,0.7,91.22,71.45,28.55,116.38,0.0,638.43,37.97,54.91,0.72,,,10.67,50.92,25.04,28.89,40.48,0.0,3.58,4092,3584,5760,1916,111,309,636
1991,65.03,3.81,35.37,72.44,8.34,0.66,78.96,69.56,30.44,320.24,27.89,1786.26,69.01,105.9,0.79,,,42.81,65.59,57.34,28.76,36.59,0.52,10.66,35693,34032,27036,42689,176,407,667
1991,62.73,3.55,43.0,68.2,8.14,0.6,80.56,64.37,35.63,240.1,30.46,1156.0,68.89,98.21,0.64,,,40.81,32.87,56.36,25.97,36.35,0.0,16.52,10004,9367,5316,14055,152,386,629
1991,64.46,3.38,37.19,71.39,8.68,0.62,81.15,65.32,34.68,224.82,25.02,1086.49,62.57,87.54,0.7,,,32.75,18.49,45.33,34.3,39.51,0.0,15.27,13332,12332,10369,15295,148,376,658
1991,59.32,3.95,56.02,61.89,7.01,0.59,95.89,62.25,37.75,81.38,5.86,371.85,44.49,57.17,0.53,,,5.96,0.0,8.3,33.22,43.25,0.0,10.05,6390,5507,11897,0,35,203,572
1991,62.76,4.19,42.9,68.26,7.42,0.65,80.12,68.79,31.21,250.08,22.81,1349.61,65.66,86.37,0.72,,,23.77,31.1,68.8,24.17,30.0,1.08,21.03,4048,3758,1193,6613,236,425,629
1991,64.18,3.84,38.09,70.88,7.92,0.63,80.8,66.16,33.84,263.03,23.76,1335.81,59.8,100.28,0.76,,,36.92,55.97,48.11,32.8,37.03,0.0,12.02,12068,11088,11970,11186,158,388,653
1991,64.71,4.19,36.41,71.84,7.88,0.6,71.92,64.3,35.7,391.37,46.16,1844.75,78.29,120.1,0.65,,,50.23,85.07,79.91,20.06,23.26,0.0,20.66,16400,16183,5177,27406,319,468,662
1991,64.46,4.38,37.19,71.39,7.19,0.57,82.3,60.03,39.97,221.53,23.62,977.54,65.52,103.04,0.53,,,26.55,43.25,49.64,33.19,39.54,0.61,13.02,25659,23942,21926,27675,123,352,658
1991,64.51,3.36,37.04,71.48,8.22,0.57,75.44,61.52,38.48,312.09,44.14,1414.41,76.0,120.52,0.55,,,48.45,53.78,71.14,24.66,33.08,0.64,13.87,51038,49688,25312,75414,223,433,659
1991,60.43,4.67,51.56,63.94,5.57,0.6,82.38,61.99,38.01,220.98,6.55,989.87,57.41,96.39,0.54,,,20.31,1.91,35.1,46.62,38.07,0.0,9.57,6400,5374,6883,4891,132,286,591
1991,61.4,4.24,47.83,65.74,7.61,0.52,97.04,54.58,45.42,109.75,15.03,425.58,59.28,82.41,0.44,,,7.87,0.0,16.64,35.99,43.26,0.0,8.32,10274,9040,14282,5031,69,272,607
1991,62.76,3.59,42.9,68.26,7.37,0.59,77.62,63.25,36.75,276.84,34.12,1338.5,73.22,111.22,0.6,,,38.87,66.3,60.01,30.11,34.41,0.0,10.42,19356,18449,14219,23586,0.16,382,629
1991,62.76,3.97,42.9,68.26,7.84,0.59,75.59,63.39,36.61,332.51,53.45,1599.44,80.15,122.5,0.61,,,56.89,73.68,77.5,28.25,33.16,0.0,14.75,16503,15407,6405,25505,202,412,629
1991,62.99,3.19,43.88,67.75,7.87,0.58,60.24,62.27,37.73,486.43,72.26,2253.8,84.9,137.22,0.59,,,54.45,68.52,95.44,21.47,19.53,0.54,20.28,137021,134420,41653,229788,383,495,633
1991,63.84,3.36,39.23,70.25,7.15,0.52,84.35,56.72,43.28,187.85,34.86,757.31,74.24,101.9,0.47,,,25.79,50.44,40.43,28.72,39.11,0.0,9.1,15626,14102,18924,10803,111,348,647
1991,59.66,4.29,54.65,62.51,7.26,0.51,93.85,52.92,47.08,140.95,16.41,519.75,60.99,99.1,0.37,,,12.68,0.0,23.89,42.79,38.76,0.0,11.89,1514,1182,2696,0,104,259,578
1991,64.87,4.51,35.88,72.15,8.13,0.58,78.96,62.21,37.79,251.8,32.75,1163.08,66.84,105.75,0.61,,,29.29,32.21,52.72,28.78,37.56,0.32,10.15,22564,21366,15658,28272,157,383,665
1991,59.32,3.99,56.02,61.89,6.54,0.57,93.13,59.95,40.05,110.82,10.17,472.71,50.86,72.01,0.5,,,9.41,32.21,21.03,40.34,44.45,0.0,8.57,6577,5751,8041,4287,82,289,572
1991,64.89,3.02,35.82,72.18,9.05,0.59,63.3,64.13,35.87,472.17,77.24,2310.87,88.48,141.09,0.61,,,72.05,85.89,83.08,23.75,27.45,0.59,15.02,19035,18716,3238,34513,293,498,665
1991,58.56,4.31,59.24,60.49,6.24,0.62,91.21,67.19,32.81,118.34,10.85,600.28,49.64,62.15,0.7,,,3.57,6.28,16.03,43.7,41.3,0.0,5.58,5596,4857,8234,2218,77,252,559
1991,57.82,4.99,62.46,59.13,7.97,0.51,86.35,56.34,43.66,199.35,40.48,742.4,72.94,104.6,0.44,,,11.6,66.2,48.98,33.39,37.78,0.0,33.65,3839,3409,3524,3724,0.12,336,547
1991,60.89,4.41,49.76,64.8,7.29,0.58,90.6,61.34,38.66,138.64,13.28,628.51,54.43,81.25,0.59,,,14.04,29.79,28.42,25.38,39.17,0.0,12.61,10766,9439,12625,7580,104,313,598
1991,59.32,4.04,56.02,61.89,5.31,0.64,97.27,67.04,32.96,132.23,12.58,734.93,56.16,74.1,0.69,,,3.19,0.0,12.43,41.78,42.44,0.0,5.16,4714,3909,8623,0,64,241,572
1991,59.66,5.34,54.65,62.51,5.96,0.6,89.68,63.9,36.1,134.82,13.21,623.7,54.29,72.81,0.6,,,13.53,0.0,21.7,49.66,50.99,0.0,10.34,4776,3989,8764,0,53,269,578
1991,63.27,4.03,41.14,69.2,1.5,0.39,100.0,45.0,55.0,152.66,0.0,497.84,76.64,117.47,0.26,,,0.0,0.0,0.0,87.53,39.0,0.0,18.49,484,284,768,0,91,325,638
1991,59.32,4.47,56.02,61.89,5.82,0.54,96.98,58.55,41.45,76.31,12.15,326.94,46.03,58.17,0.51,,,3.27,0.0,7.73,44.66,45.49,0.0,4.4,6100,5319,11419,0,32,199,572
1991,61.51,4.88,47.44,65.94,7.16,0.44,84.09,47.12,52.88,149.14,30.72,430.39,66.91,101.55,0.35,,,4.57,0.0,38.39,38.9,38.05,0.0,13.98,2860,2378,5238,0,111,283,609
1991,60.79,3.89,50.16,64.6,6.03,0.5,84.65,55.05,44.95,174.67,37.91,693.21,74.58,99.24,0.44,,,4.54,0.0,27.33,25.36,31.71,0.0,5.01,2103,1696,3799,0,55,293,597
